subbasn,ar_sqkm,grd_cells,gen_flux,out_flux,ret_final,method
1299.0,73846.90627,33,746875441.6553261,2420.495808,0.999996759170709,Calculated
1300.0,6153.547754,3,95830.8923656,62132.198919400005,0.351647497110198,Calculated
1301.0,3077.001939,1,6890.8728,6890.8728,0.75,Fixed (Size <= 4 Grids)
1302.0,3077.001939,1,14048.24720682,14048.24720682,0.75,Fixed (Size <= 4 Grids)
1303.0,3077.001939,1,4559.05591703,4559.05591703,0.75,Fixed (Size <= 4 Grids)
1304.0,3077.001939,2,7194.36664216,7194.36664216,0.75,Fixed (Size <= 4 Grids)
1305.0,3077.001939,2,3334.84222496,3334.84222496,0.75,Fixed (Size <= 4 Grids)
1306.0,3077.001939,2,2322.092302,2322.092302,0.75,Fixed (Size <= 4 Grids)
1307.0,3077.001939,2,8646.932482,8646.932482,0.75,Fixed (Size <= 4 Grids)
1308.0,3077.001939,2,4332.5197673,4332.5197673,0.75,Fixed (Size <= 4 Grids)
1309.0,3077.001939,1,5236.657692,5236.657692,0.75,Fixed (Size <= 4 Grids)
1310.0,3077.001939,2,18525.922425999997,18525.922425999997,0.75,Fixed (Size <= 4 Grids)
1311.0,6154.003878,3,114852.4817958,70514.0657306,0.386046651948111,Calculated
1312.0,3077.001939,1,32526.80720947,32526.80720947,0.75,Fixed (Size <= 4 Grids)
1313.0,6153.547754,2,146159.33308639,32262.44505039,0.77926524178021,Calculated
1314.0,3077.001939,1,727.0464669,727.0464669,0.75,Fixed (Size <= 4 Grids)
1315.0,3077.001939,2,0.0,0.0,0.75,Fixed (Size <= 4 Grids)
1316.0,3077.001939,2,3095.45151727,3095.45151727,0.75,Fixed (Size <= 4 Grids)
1317.0,3077.001939,2,174.8303727,174.8303727,0.75,Fixed (Size <= 4 Grids)
1318.0,3077.230008,2,101.12491755,101.12491755,0.75,Fixed (Size <= 4 Grids)
1319.0,3077.230008,4,1754.99995928,1754.99995928,0.75,Fixed (Size <= 4 Grids)
1320.0,3077.230008,6,296.76303359999997,296.76303359999997,0.6664,Size Mean (Size 6)
1321.0,3077.230008,2,49027.608041249994,49027.608041249994,0.75,Fixed (Size <= 4 Grids)
1322.0,6154.231947,2,18823.20493556,4314.62383811,0.770781657380832,Calculated
1323.0,6154.231947,2,7121.959496755,3920.550068805,0.449512445192741,Calculated
1324.0,3077.230008,4,17820.25632827,17820.25632827,0.75,Fixed (Size <= 4 Grids)
1325.0,3077.230008,6,2951.68538224,2951.68538224,0.6664,Size Mean (Size 6)
1326.0,3077.230008,4,204.96359015,204.96359015,0.75,Fixed (Size <= 4 Grids)
1327.0,3077.230008,2,19917.4784685,19917.4784685,0.75,Fixed (Size <= 4 Grids)
1329.0,9231.690024,5,1027983.70720705,92591.61239115,0.909928910602373,Calculated
1330.0,30771.3878,13,13585129.898606462,2502.3134798419997,0.999815804964802,Calculated
1331.0,3077.230008,2,9966.438196,9966.438196,0.75,Fixed (Size <= 4 Grids)
1332.0,3077.230008,2,1219.9648634,1219.9648634,0.75,Fixed (Size <= 4 Grids)
1333.0,92312.3389,45,20456850.83701031,1985684.9831492,0.902933007676982,Calculated
1334.0,6154.460016,3,304395897.63368326,304252828.8095623,0.000470009041624,Calculated
1335.0,3077.230008,4,5447.7343795,5447.7343795,0.75,Fixed (Size <= 4 Grids)
1336.0,3077.230008,2,2112.0294587999997,2112.0294587999997,0.75,Fixed (Size <= 4 Grids)
1337.0,3077.230008,4,7116.25307353,7116.25307353,0.75,Fixed (Size <= 4 Grids)
1338.0,3077.230008,4,7578.55203164,7578.55203164,0.75,Fixed (Size <= 4 Grids)
1339.0,3077.230008,2,3041.6755860000003,3041.6755860000003,0.75,Fixed (Size <= 4 Grids)
1340.0,3077.230008,2,9685.9001845,9685.9001845,0.75,Fixed (Size <= 4 Grids)
1341.0,3077.230008,4,4722.394165600001,4722.394165600001,0.75,Fixed (Size <= 4 Grids)
1342.0,3077.230008,4,16709.451381500003,16709.451381500003,0.75,Fixed (Size <= 4 Grids)
1343.0,3077.230008,4,5825.92658711,5825.92658711,0.75,Fixed (Size <= 4 Grids)
1344.0,6154.460016,4,0.0,0.0,0.75,Fixed (Size <= 4 Grids)
1345.0,3077.230008,2,1382.69228429,1382.69228429,0.75,Fixed (Size <= 4 Grids)
1347.0,15385.92197,15,224502.1710981,18343.971209,0.918290450736958,Calculated
1348.0,3077.230008,4,2355.2931417400005,2355.2931417400005,0.75,Fixed (Size <= 4 Grids)
1349.0,3077.230008,4,138980.891519,138980.891519,0.75,Fixed (Size <= 4 Grids)
1350.0,6154.460016,4,32771.589431779,8382.206444079,0.744223377949723,Calculated
1351.0,3077.230008,2,310.8722604,310.8722604,0.75,Fixed (Size <= 4 Grids)
1352.0,9231.461955,6,527236.138283548,200788.437219948,0.619167916156832,Calculated
1353.0,3077.230008,2,7623.8703311,7623.8703311,0.75,Fixed (Size <= 4 Grids)
1354.0,3077.230008,4,3616.5914395,3616.5914395,0.75,Fixed (Size <= 4 Grids)
1355.0,3077.230008,2,5687.16504538,5687.16504538,0.75,Fixed (Size <= 4 Grids)
1356.0,3077.230008,2,1992.4879803,1992.4879803,0.75,Fixed (Size <= 4 Grids)
1357.0,3077.230008,2,6133.59134788,6133.59134788,0.75,Fixed (Size <= 4 Grids)
1358.0,6154.231947,4,67718.1225363,33.2611755,0.99950882903639,Calculated
1359.0,3077.230008,2,1606.1222815,1606.1222815,0.75,Fixed (Size <= 4 Grids)
1360.0,3077.230008,4,0.0,0.0,0.75,Fixed (Size <= 4 Grids)
1361.0,3077.230008,4,13612.5613636,13612.5613636,0.75,Fixed (Size <= 4 Grids)
1362.0,3077.230008,4,9465.5152982,9465.5152982,0.75,Fixed (Size <= 4 Grids)
1363.0,3077.230008,4,2612.8042261,2612.8042261,0.75,Fixed (Size <= 4 Grids)
1364.0,3077.230008,4,1812.3424398,1812.3424398,0.75,Fixed (Size <= 4 Grids)
1365.0,3077.230008,4,13385.9911469,13385.9911469,0.75,Fixed (Size <= 4 Grids)
1366.0,3077.230008,4,7532.9114711,7532.9114711,0.75,Fixed (Size <= 4 Grids)
1367.0,3077.230008,2,6048.679802,6048.679802,0.75,Fixed (Size <= 4 Grids)
